X	y0	y1	y2	y3	y4	y5	y6	y7	y8	y9	y10	y11	y12	y13	y14	y15	y16	y17	y18	y19	y20	y21	y22	y23	y24	y25	y26	y27	y28	y29	y30	y31	y32	y33	y34	y35	y36	y37	y38	y39	y40	y41	y42	y43	y44	y45	y46	y47	y48	y49	y50	y51	y52	y53	y54	y55	y56	y57	y58	y59
x74	bb	ee	aa	aa	dd	ee	bb	aa	ee	ee	cc	dd	aa	dd	cc	cc	ee	cc	aa	ee	dd	aa	cc	cc	dd	dd	cc	cc	aa	dd	aa	dd	cc	aa	aa	aa	ee	bb	cc	aa	cc	cc	aa	aa	aa	dd	aa	aa	aa	bb	bb	ee	ee	bb	bb	aa	aa	aa	aa	dd
x75	cc	ee	ee	aa	cc	aa	ee	aa	ee	ee	cc	cc	bb	aa	ee	cc	aa	cc	bb	ee	dd	bb	cc	bb	dd	dd	dd	cc	dd	dd	aa	dd	cc	ee	cc	aa	dd	aa	ee	ee	cc	cc	aa	aa	aa	dd	bb	aa	bb	cc	bb	ee	bb	ee	cc	cc	aa	aa	aa	ee
x76	dd	cc	cc	cc	bb	dd	cc	dd	aa	bb	bb	dd	dd	dd	bb	cc	aa	aa	dd	bb	dd	aa	aa	dd	bb	aa	dd	ee	aa	bb	cc	dd	dd	aa	aa	aa	dd	dd	aa	cc	bb	cc	ee	ee	cc	bb	cc	dd	bb	ee	dd	aa	dd	dd	dd	aa	aa	ee	aa	dd
x77	bb	ee	aa	aa	ee	ee	cc	dd	ee	ee	dd	dd	cc	ee	dd	dd	dd	aa	aa	cc	aa	cc	ee	dd	cc	aa	aa	aa	bb	bb	cc	bb	dd	ee	bb	aa	aa	cc	ee	cc	dd	ee	bb	aa	cc	aa	bb	dd	dd	bb	bb	bb	dd	ee	cc	bb	dd	dd	aa	aa
x78	aa	bb	aa	ee	dd	cc	aa	bb	cc	cc	bb	bb	cc	dd	bb	aa	cc	cc	ee	dd	dd	aa	cc	aa	dd	ee	dd	bb	bb	aa	bb	bb	bb	aa	cc	ee	dd	aa	aa	dd	cc	aa	dd	bb	dd	ee	ee	aa	aa	cc	cc	aa	aa	ee	ee	ee	dd	cc	bb	cc
x79	aa	ee	cc	aa	aa	ee	dd	ee	bb	ee	dd	cc	cc	aa	dd	aa	cc	dd	aa	aa	cc	cc	cc	ee	dd	aa	ee	bb	cc	aa	bb	bb	ee	cc	ee	cc	aa	cc	ee	ee	ee	bb	dd	dd	ee	aa	ee	dd	dd	cc	cc	ee	cc	bb	bb	cc	dd	dd	cc	dd
x80	aa	bb	ee	ee	cc	dd	cc	dd	ee	aa	bb	cc	ee	dd	aa	aa	dd	dd	aa	cc	dd	cc	dd	dd	bb	cc	bb	ee	dd	bb	aa	aa	cc	dd	bb	cc	cc	ee	dd	aa	ee	cc	ee	aa	ee	aa	ee	dd	cc	ee	aa	cc	ee	bb	dd	cc	bb	aa	dd	dd
x81	cc	cc	cc	aa	dd	cc	dd	aa	ee	dd	cc	bb	ee	cc	aa	cc	bb	bb	aa	ee	aa	aa	ee	ee	aa	bb	cc	aa	dd	bb	bb	bb	dd	bb	cc	cc	dd	aa	aa	bb	dd	ee	ee	ee	dd	aa	dd	dd	dd	ee	cc	ee	dd	ee	dd	dd	bb	bb	bb	ee
x82	aa	cc	aa	bb	bb	cc	cc	aa	bb	aa	ee	bb	cc	bb	dd	dd	bb	bb	dd	dd	cc	aa	ee	cc	cc	ee	ee	dd	cc	cc	bb	bb	bb	cc	aa	cc	ee	aa	bb	cc	aa	aa	cc	bb	aa	dd	bb	dd	bb	dd	ee	ee	aa	bb	bb	cc	aa	ee	bb	aa
x83	bb	aa	dd	cc	bb	dd	cc	dd	aa	aa	dd	dd	aa	dd	bb	cc	aa	aa	ee	bb	dd	aa	aa	ee	bb	dd	ee	ee	aa	aa	cc	dd	dd	cc	dd	aa	aa	cc	aa	cc	aa	aa	cc	aa	bb	ee	ee	aa	aa	ee	ee	bb	dd	bb	cc	aa	aa	cc	aa	bb
x84	ee	ee	bb	aa	bb	cc	dd	aa	bb	ee	cc	dd	ee	bb	aa	cc	aa	cc	ee	ee	ee	cc	cc	aa	dd	cc	cc	ee	dd	dd	aa	aa	cc	aa	dd	aa	dd	bb	bb	ee	cc	cc	aa	aa	aa	dd	dd	aa	aa	bb	bb	ee	ee	dd	dd	aa	dd	aa	cc	dd
x85	aa	ee	bb	cc	ee	bb	aa	cc	dd	cc	cc	cc	dd	dd	bb	bb	dd	dd	ee	cc	dd	ee	dd	aa	aa	cc	cc	dd	dd	bb	aa	dd	cc	cc	dd	aa	bb	ee	cc	ee	dd	dd	ee	bb	dd	ee	ee	bb	cc	ee	ee	bb	bb	ee	cc	cc	dd	ee	aa	bb
x86	aa	aa	aa	aa	dd	aa	aa	bb	cc	ee	bb	bb	cc	dd	aa	bb	aa	ee	ee	cc	ee	dd	bb	aa	cc	ee	dd	bb	dd	aa	ee	cc	cc	aa	cc	dd	dd	aa	dd	dd	dd	bb	ee	aa	cc	dd	ee	bb	aa	bb	dd	cc	dd	ee	ee	ee	dd	ee	aa	cc
x87	aa	cc	aa	dd	dd	ee	aa	cc	cc	aa	bb	bb	cc	bb	cc	aa	aa	bb	ee	ee	bb	aa	ee	aa	aa	ee	dd	bb	bb	cc	aa	aa	dd	aa	cc	ee	dd	aa	dd	dd	dd	ee	dd	cc	ee	bb	ee	ee	aa	cc	ee	cc	bb	ee	ee	ee	bb	cc	bb	cc
x88	ee	bb	dd	ee	aa	bb	aa	cc	dd	cc	cc	cc	bb	aa	ee	aa	aa	cc	bb	bb	aa	bb	bb	dd	ee	aa	ee	ee	bb	dd	cc	aa	bb	dd	ee	dd	bb	aa	dd	bb	bb	aa	dd	bb	aa	aa	ee	aa	dd	bb	cc	dd	dd	cc	dd	aa	dd	dd	bb	aa
x89	bb	ee	ee	bb	bb	dd	dd	ee	dd	ee	ee	ee	bb	aa	dd	cc	bb	cc	bb	ee	dd	aa	ee	aa	dd	ee	cc	ee	dd	dd	aa	aa	cc	dd	cc	aa	dd	bb	aa	cc	cc	cc	aa	aa	aa	dd	cc	aa	cc	cc	bb	ee	cc	cc	ee	cc	dd	aa	aa	ee
x90	aa	cc	aa	dd	aa	ee	dd	ee	ee	ee	ee	dd	cc	ee	aa	ee	dd	aa	ee	ee	cc	ee	bb	ee	cc	bb	cc	dd	aa	ee	ee	aa	bb	bb	dd	dd	bb	ee	aa	bb	dd	ee	dd	bb	dd	ee	bb	cc	ee	bb	cc	aa	ee	dd	cc	ee	bb	ee	aa	ee
x91	aa	ee	aa	ee	dd	dd	ee	cc	cc	ee	bb	ee	cc	cc	cc	cc	dd	cc	ee	ee	cc	dd	ee	aa	dd	ee	dd	aa	aa	dd	aa	bb	cc	aa	cc	aa	dd	aa	bb	dd	cc	cc	aa	aa	aa	dd	ee	aa	aa	cc	bb	ee	aa	ee	ee	dd	dd	aa	cc	cc
x92	bb	ee	bb	dd	ee	ee	cc	ee	ee	ee	bb	aa	ee	bb	cc	cc	aa	cc	ee	ee	cc	aa	bb	dd	dd	dd	dd	aa	dd	dd	aa	ee	cc	cc	aa	aa	dd	cc	ee	bb	cc	cc	aa	aa	aa	dd	cc	aa	ee	ee	bb	ee	bb	dd	dd	cc	dd	aa	aa	aa
x93	ee	aa	bb	bb	bb	cc	cc	dd	cc	bb	bb	aa	cc	cc	aa	dd	cc	aa	bb	aa	dd	dd	aa	ee	dd	ee	dd	bb	ee	aa	aa	ee	dd	ee	cc	ee	aa	dd	cc	dd	aa	dd	dd	ee	bb	aa	bb	ee	aa	ee	ee	ee	dd	cc	bb	aa	bb	dd	ee	cc
x94	dd	ee	dd	dd	aa	ee	aa	dd	bb	ee	dd	aa	bb	dd	ee	cc	aa	cc	ee	ee	bb	bb	dd	dd	dd	cc	dd	dd	ee	dd	aa	ee	cc	ee	aa	aa	ee	cc	dd	aa	cc	cc	aa	aa	aa	dd	aa	aa	cc	ee	bb	ee	aa	ee	cc	ee	bb	aa	cc	dd
x95	cc	ee	dd	dd	bb	bb	cc	dd	cc	aa	aa	aa	aa	bb	dd	dd	bb	cc	aa	cc	dd	bb	cc	bb	bb	bb	aa	ee	ee	aa	ee	bb	ee	dd	ee	bb	ee	cc	aa	dd	dd	bb	aa	ee	dd	aa	cc	cc	bb	bb	aa	bb	aa	dd	cc	cc	aa	bb	ee	cc
x96	cc	aa	dd	dd	aa	dd	ee	dd	aa	aa	dd	ee	aa	cc	aa	bb	dd	ee	cc	cc	bb	bb	bb	bb	bb	aa	cc	ee	dd	cc	dd	aa	dd	ee	aa	bb	bb	ee	ee	ee	ee	aa	dd	dd	dd	dd	aa	ee	cc	ee	cc	ee	bb	ee	ee	aa	cc	cc	aa	aa
x97	cc	dd	ee	cc	dd	dd	cc	dd	cc	bb	dd	dd	cc	dd	bb	ee	aa	aa	cc	dd	dd	aa	aa	cc	bb	aa	bb	ee	aa	ee	aa	dd	ee	bb	cc	dd	aa	aa	aa	dd	cc	dd	cc	dd	ee	ee	cc	bb	aa	ee	bb	dd	dd	aa	dd	aa	aa	cc	aa	bb
x98	ee	ee	aa	ee	bb	dd	cc	cc	bb	ee	cc	dd	aa	cc	cc	dd	dd	bb	bb	dd	aa	aa	aa	aa	cc	aa	ee	dd	dd	aa	cc	ee	dd	aa	cc	dd	cc	dd	cc	dd	ee	ee	aa	bb	dd	bb	aa	dd	bb	ee	bb	aa	ee	cc	dd	ee	ee	cc	dd	dd
x99	ee	ee	bb	ee	cc	ee	ee	bb	bb	ee	dd	aa	aa	dd	aa	cc	bb	cc	cc	ee	dd	bb	dd	cc	dd	cc	cc	cc	cc	dd	aa	aa	cc	bb	bb	aa	cc	dd	cc	dd	cc	cc	aa	aa	aa	dd	bb	aa	ee	cc	bb	ee	aa	ee	bb	ee	bb	aa	aa	dd
