X	y0	y1	y2	y3	y4	y5	y6	y7	y8	y9	y10	y11	y12	y13	y14	y15	y16	y17	y18	y19	y20	y21	y22	y23	y24	y25	y26	y27	y28	y29	y30	y31	y32	y33	y34	y35	y36	y37	y38	y39	y40	y41	y42	y43	y44	y45	y46	y47	y48	y49	y50	y51	y52	y53	y54	y55	y56	y57	y58	y59
x50	-5.89	9.34	2.96	-9.99	9.56	6.06	-4.34	-1.89	1.68	-4.26	3.26	9.55	-8.24	-2.62	2.12	7.83	-3.44	-0.42	-4.32	-7.35	-4.14	-6.41	7.3	2.55	4.63	-4.57	3.77	-6.64	7.08	-3.05	-6.32	-7.34	3.37	-2.85	-9.83	-4.29	1.5	9.29	-9.43	-3.16	-3.35	-3.07	6.88	1.62	-1.9	2.21	0.55	-0.1	-9.98	-6.04	-7.35	-2.48	6.34	-0.5	-4.04	5.27	2.58	-5.77	9.87	7.89
x51	-1.75	5.94	-0.89	2.79	9.69	-2.5	3.01	-6.18	-8.67	6.1	7.86	-9.6	-2.2	-4.49	2.97	2.74	6.89	-3.7	-7.95	8.27	-1.87	9.95	-8.3	-1.61	8.44	1.52	8.87	-6.45	-4.66	2.29	2.49	1.31	-9.67	3.76	-7.37	-5.05	-5.85	8.92	-8.24	9.39	-3.42	8.97	8.47	-1.61	-1.64	6.73	-9.16	-5.94	-0.44	-3.16	-8.07	8.9	-6.16	9.48	2.45	-6.05	-0.78	-5.76	4.62	9.44
x52	-1.75	1.72	-0.89	-8.07	9.69	-6.5	3.97	9.78	-8.67	8.24	7.86	-0.61	-2.2	3.61	-2.87	2.68	2.03	-6.5	-7.95	-3.82	2.17	-9.03	1.22	-1.61	8.91	1.52	8.87	6.2	-5.27	2.68	5.83	-0.86	7.64	3.76	-7.37	0.17	-5.85	8.92	9.24	9.39	1.66	3.94	2.31	-7.23	-1.2	9.49	-9.16	4.75	-0.44	4.77	-3.9	8.24	-1.24	9.48	2.45	7.64	1.77	7.16	5.22	9.44
x53	-2.78	-6.76	6.45	5.85	6.91	-1.02	4.48	0.47	9.68	-6.84	6.37	-0.46	7.73	-0.32	3.95	4.26	4.58	-5.34	-9.34	-6.59	6.82	2.27	9.82	5.51	4.41	-3.12	7.06	-2.39	6.95	-2.85	8.51	-1.98	-8.9	1.83	-4.77	9.34	-0.5	-4.37	-8.78	-0.06	5.12	4.51	7.56	7.77	-3.32	4.07	8.42	8.45	-9.56	2.18	6	-8.93	-8.17	7.5	-9.05	0.06	-3.92	-0.53	2.44	-1.23
x54	-8.59	-8.32	-2.33	-8.15	-9.38	-8.95	-5.3	6.99	7.13	-2.12	-5.85	4.06	-9.63	8.25	-4.44	9.76	1.74	9.46	-7.48	9.45	7.41	1.64	-3.13	4.05	7.05	-5.6	6.82	-0.16	8.47	-4.19	-3.67	1.56	-2.34	-7.04	4.07	5.11	0.59	-1.62	-1.16	-4.86	8.87	4.48	-4.58	5.17	4.71	9.51	-9.99	-7.36	-7.62	-7.31	-2.56	0.29	3.09	3.89	3.89	-3.77	8.21	-6.58	-1.85	-9.95
x55	-8.38	1.56	-7.77	9.91	-3.59	-5.16	-5.99	7.61	-3.57	4.83	-6.94	5.11	9.43	7.6	3.28	3.18	-2.92	5.73	-1.46	1.59	0.5	-2.15	-8.59	-7.82	-6.95	-0.02	-2.43	5.96	4.26	-7.87	-7.68	-2.02	1.87	-5.59	-1.18	9.61	-1.12	-7.76	-1.1	7.41	-6.59	5.39	9.39	6.51	-2.76	1.28	-9.99	9.96	-1.92	0.52	3.5	7.98	-9.59	-7.64	0.87	-1.33	-6.64	-1.07	5.32	1.37
x56	6.66	-3.82	-9.64	-1.19	9.86	-5.16	3.85	-8.52	-0.36	4.83	7.12	5.11	-7.57	1.54	-5.74	3.18	-2.73	5.73	9.46	1.59	0.5	-5.3	-5.16	1.58	-6.95	6.38	7.55	5.96	8.04	-1.89	-7.68	-9.61	-6.73	-1.41	0.36	9.61	-0.6	-0.26	-1.85	6.93	-6.59	5.39	0.16	4.63	-2.76	1.28	-5.98	-9.11	0.13	0.52	3.5	7.98	-9.59	-5.75	-3.14	8.49	6.24	5.03	5.32	-6.65
x57	4.73	0.15	-3.54	0.06	0.53	-5.16	8.81	-7.2	8.41	4.83	0.73	5.11	-8.28	-3.2	6.6	3.18	5.03	5.73	1.61	1.59	0.5	3.63	4.61	-4.74	-6.95	4.18	5.37	5.96	-9.33	-8.67	-7.68	4.26	-2.46	-6.32	-4.54	9.61	0.61	-2.45	-4.96	-0.12	-6.59	5.39	-0.06	2.42	-2.76	1.28	5.54	-3.35	1.42	0.52	3.5	7.98	-9.59	7.81	-2.04	-0.2	-2.18	3.78	5.32	4.82
x58	9.91	6.51	-5.84	-8.21	-0.88	4.15	-4.39	2.27	-9.33	-7.28	0.34	-3.89	-9.09	-8.69	-8.02	-3.46	4.59	7.95	8.04	-6.76	4	-1.1	4.28	6.7	-8.45	9.01	-3.45	-0.86	-8.22	6.04	-6.26	0.91	-6.23	-5.63	-8.1	7.4	-2.5	-1.1	-5.93	-8.46	-0.75	8.87	-7.08	9.39	-0.27	2.88	4.01	-7.68	-3.64	1.72	6.44	-1.58	6.34	-6.82	-5.54	-2.35	0.63	4.63	8.83	-9.32
x59	-1.75	-9.3	-0.89	3.31	9.69	-5.16	0.01	9.7	-8.67	4.83	7.86	5.11	-2.2	-0.15	1.61	3.18	-3.75	5.73	-7.95	1.59	0.5	0.99	8.37	-1.61	-6.95	1.52	8.87	5.96	-4.6	9.71	-7.68	3.58	8.42	3.76	-7.37	9.61	-5.85	8.92	7.06	9.39	-6.59	5.39	-9.24	-3.74	-2.76	1.28	-9.16	-1.9	-0.44	0.52	3.5	7.98	-9.59	9.48	2.45	1.52	-3.31	5.94	5.32	9.44
x60	6.97	5.94	-6.07	2.79	-5.27	-5.62	3.01	-6.18	-4.67	-9.77	-8.51	7.48	8.25	-4.49	2.97	-1.57	6.89	-9.43	1.6	-8	-2.56	9.95	-8.3	8.92	-5.34	-4.63	-6.99	8.29	-4.66	2.29	6.3	1.31	-9.67	1	5.65	3.06	-8.85	3.37	-8.24	4.25	7.97	-8.18	8.47	-1.61	8.77	0.9	-9.7	-5.94	4.18	0.1	-2.71	9.56	-3.45	4.78	1.33	-6.05	-0.78	-5.76	5.15	-3.54
x61	7.46	-6.58	7.1	-6.05	1.05	-3.28	-1.45	8.8	9.05	-7.48	9.83	-9.58	0.61	2.99	-6.51	4	-4.84	-3.09	-2.74	4.02	-1.87	0.86	-2.36	7.32	1.22	-1.58	0.6	-8.19	1.34	-7.16	-2.08	3.96	0.6	-5	7.79	-1.23	6.78	-2.42	6.48	-1.15	-2.07	8.95	-5.72	6.17	8.39	5.93	-6.78	9.33	-6.22	2.98	7.06	2.25	2.36	7.57	4.28	5.84	-3.11	-3.97	-6.02	3.2
x62	-1.75	-3.07	-0.89	2.62	9.69	-8.49	1.33	4.83	-8.67	5.4	7.86	-4.33	-2.2	-2.84	0.44	-2.83	2.55	-5.57	-7.95	-0.82	6.77	2.53	9.31	-1.61	6.36	1.52	8.87	7	6.33	-2.87	6.21	8.84	3.69	3.76	-7.37	-9.14	-5.85	8.92	-1.32	9.39	-1.45	-6.24	2.04	-0.9	4.23	0.58	-9.16	-0.21	-0.44	6.2	1.35	-1.64	9.83	9.48	2.45	2.71	3.16	2.1	6.31	9.44
x63	-0.76	-9.06	6.6	2.2	6.92	1.73	3.83	0.86	7.37	6.61	-7.25	-9.33	-0.52	1.3	-1.58	7.64	1.49	-7.16	-2.08	-3.28	-5.45	0.65	9.48	-8.6	8.92	-1.13	-1.86	3.56	-2.22	7.6	6.34	-9.45	-4.91	-4.72	-8.75	5.02	-5.97	1.69	1.7	-5.58	-9.97	-8.12	-2.73	1.84	8.76	4.58	-0.34	7.45	3.58	6.05	-7.92	0.84	-0.99	-0.24	6.33	8.41	-2.49	-4.45	-0.75	-2.68
x64	-4.91	8.31	0.22	-2.63	8.23	-4.95	9.62	6.11	-1	-7.74	4.73	8.36	-1.38	0.51	3.52	-8.41	-9.57	2.24	-9.94	-9.33	2.35	-9.51	-4.64	-7.83	-3.39	-8.99	-3.31	6.57	9.37	-1.38	5.35	-0.44	6.83	-0.41	-2.26	-1.55	5.98	-3.74	8.12	-1.79	-2.33	7.56	2.55	3.22	8.07	9.59	-6.96	-4.66	0.08	4.2	8.66	-3.21	-9.05	0.23	-4.11	-3.02	4.17	2.11	-5.56	-3.27
x65	4.41	3.52	6.81	-9.71	2.82	-0.05	9.73	-4.29	6.39	3.6	4.17	-2.24	0.15	5.93	6.65	3.89	-6.13	9.5	9.2	-6.59	-4.33	-1.32	-2.02	2.92	-5.49	1.24	1.08	-3.35	0.48	7.24	-4.84	-0.32	7.47	0.24	-2.73	3.97	6.15	-3.41	3.45	-7.67	6.95	3.07	8.98	4.03	-7.46	-9.33	-3.71	6.96	7.04	2.7	6.28	6.38	5.54	9.2	-3.82	7.33	-8.68	6.45	-7.14	-0.63
x66	0.69	0.23	-5.51	5.88	-4.27	4.7	-4.87	-2.59	-6.33	-5.17	7.26	8.81	-1.71	9.57	-4.71	3.28	3.8	-4.26	9.34	-6.99	-5.94	7.63	3.4	-4.45	1.48	-3.47	-5.82	-2.02	-1	-4.12	7.98	-3.21	-4.46	-7.15	-8.47	0.32	-8.81	-4.93	-9.98	2.74	1.62	-7.38	0.19	3.96	2.86	-0.49	-9.88	-2.04	-2.42	-3.49	-1.8	3.85	1.79	7.53	3.59	8.32	-3.18	5.66	-2.19	6.07
x67	-1.75	5.74	-0.89	1.72	9.69	3.19	5.68	-4.26	-8.67	-2	7.86	-2.79	-2.2	-7.78	-1.91	-6.89	-5.66	5.24	-7.95	-3.81	0	6.6	0.99	-1.61	-1.4	1.52	8.87	8.38	-7.46	0.82	8.97	5.45	-9.32	3.76	-7.37	4.83	-5.85	8.92	7.46	9.39	4.28	-2.25	8.6	9.46	-2.2	-5.1	-9.16	4.56	-0.44	6.44	-1.58	5.55	-5.42	9.48	2.45	1.26	-2.09	7.65	9.87	9.44
x68	5.35	5.94	-9.46	2.79	-0.23	-5.16	3.01	-6.18	6.32	4.83	9.03	5.11	3.59	-4.49	2.97	3.18	6.89	5.73	-4.17	1.59	0.5	9.95	-8.3	-1.5	-6.95	7.68	-6.63	5.96	-4.66	2.29	-7.68	1.31	-9.67	-3.57	-5.88	9.61	6.39	-7.13	-8.24	-4.16	-6.59	5.39	8.47	-1.61	-2.76	1.28	-7.88	-5.94	-6.43	0.52	3.5	7.98	-9.59	-2.73	-6.3	-6.05	-0.78	-5.76	5.32	-7.75
x69	9.97	7.34	7.42	-8.28	3.93	-2.19	7.67	-4.52	-4.35	-2.6	2.58	0.42	-5.97	0.39	-1.27	-8.62	-2.11	-3.97	6.81	6.56	-9.85	0.96	-1.82	-6.27	-1.65	-7.34	-5.11	5.02	7.82	7.23	-9.89	7.45	-5.34	3.79	8.65	-0.35	-4.84	9.18	7.96	0.45	5.35	2.08	8.68	-5.38	9.74	-6.7	-9.08	2.75	-7.87	-9.53	-2.35	7.68	2.64	-0.46	9.53	-1.65	5.32	-7.03	-2.91	3.2
x70	8.12	5.1	-4.43	0.16	3.6	-5.16	-1.19	5.24	7.81	4.83	2.39	5.11	4.38	-4.11	3.33	3.18	4.03	5.73	1.61	1.59	0.5	7.99	-3.36	0.13	-6.95	-1.05	-5.17	5.96	-2.43	3.32	-7.68	0.06	0.35	2.92	2.09	9.61	-3.05	-4.77	3.64	-3.52	-6.59	5.39	-8.03	0.59	-2.76	1.28	9.03	-7.56	5.85	0.52	3.5	7.98	-9.59	-7.41	4.46	3.74	-1.85	4.39	5.32	1.6
x71	9.37	7.93	2.21	6.39	1.88	-2.16	-8.76	-1.15	-2.72	-7.66	4.21	-9.24	0.8	2.38	0.35	2.88	-5.64	3.14	-4.11	1.36	-8.41	-1.44	-1.67	-5.17	-6.16	7.35	6.55	-1.96	-3.05	-1.4	5.98	-4.18	2.54	-7.9	-5.72	-8.04	-0.07	-1.86	-3.69	1.6	5.17	5.14	9.59	2.86	-7.78	8.95	1.22	3.73	8.01	-2.27	-4.37	3.59	7.81	-1.91	8.93	-4.83	0.34	-5.82	-0.24	2.53
x72	-6.93	5.94	-9.96	2.79	-0.34	3.28	3.01	-6.18	-2.78	-2.98	-3.76	-0.87	9.38	-4.49	2.97	-6.46	6.89	-8.47	-1.98	-7.89	2.09	9.95	-8.3	4.81	-7.03	9.16	-0.29	-5.76	-4.66	2.29	8.27	1.31	-9.67	-7.06	2.65	-5.06	-8.17	-8.54	-8.24	3.08	-7.46	4.15	8.47	-1.61	-0.09	6.55	-9.56	-5.94	8.98	8.03	2.31	7	8.28	8.8	-4.23	-6.05	-0.78	-5.76	-5.69	5.36
x73	-4.08	1.98	4.09	3.76	8.21	2.3	-1.52	-3.32	-2.36	2.44	-6.94	-8.04	4.09	-0.34	8.36	-8.81	-5.1	8.97	-8.25	-2.28	-9.63	-5.93	-3.26	8.24	6.85	-2.74	8.65	5.18	8.96	4.48	7.04	-6.81	9.01	-3.45	-6.56	-8.15	7.76	5.6	-9.49	8.94	-6.28	-2.72	-6.66	-6.06	-9.88	-6.97	7.24	9.55	-1.7	-5.21	-2.55	0.9	-5.63	-5.36	5.7	6.36	-8.23	5.7	-3.59	1.93
x74	6.8	-2.55	0.55	1.89	-3.76	-1.33	9.62	-7.6	-3.26	3.94	-6.39	-8	4.06	6.2	-2.68	-6.93	7.15	-2.91	7.55	1.71	-3.51	8.93	-0.31	0.12	-0.68	-1.7	7.32	5.01	-4.75	9.35	-9.61	8.58	-4.92	7.2	8.81	4.08	2.63	-3.62	-3.3	-2.55	5.21	-2.36	-0.22	8.32	-8.53	7.44	3.52	9	-2.61	8.84	2.55	-1.44	-9.25	-0.16	3.61	0.47	2.31	-3.96	-6.5	6.91
x75	-1.9	5.94	7.87	2.79	1.16	-9.15	3.01	-6.18	1.4	9.61	-1.14	7.45	-5.06	-4.49	2.97	7.48	6.89	1.08	-9.26	4.79	-3.16	9.95	-8.3	-8.15	-1.55	5.5	-4.97	1.32	-4.66	2.29	8.14	1.31	-9.67	-7.13	5.56	0.63	1.23	5.65	-8.24	-8.24	-9.71	8.01	8.47	-1.61	0.08	-6.29	2.09	-5.94	6.18	-7.48	-9.25	-3.17	8.62	4.39	-6.01	-6.05	-0.78	-5.76	1.08	1.36
x76	-9.02	7.83	4.97	2.48	-8.92	7.79	-0.06	3.99	-2	3.21	-9.38	-5.25	4.12	7.38	7.99	0.26	-9.16	5.45	2.6	-2.96	3.94	-9.2	5.88	3.85	-9.86	-5.64	-4.77	-0.48	-5.09	-1.79	4.46	8.57	-6.04	4.5	4.67	9.13	-8.91	4.2	3	-4.55	3.68	-4.06	6.43	6.95	-6.15	4.91	-3.56	-0.26	7.88	3.89	-3.86	2.42	-0.27	4.33	6.58	8.16	-4.87	3.88	0.99	7.43
x77	2.2	8.75	-3.19	1.81	-8.24	-5.93	-5.98	-1.78	-4.29	3.61	-4.73	5.18	5.68	1.37	8.56	-2.23	-4.33	-8.2	-3.86	6.51	2.08	3.02	-4.92	-3.23	-7.25	-2.3	-6.13	0.04	2.24	0.28	7.71	-3.97	5.14	5.85	-9.93	5.54	1.29	5.78	-7.27	-1.89	-2.86	8.72	-2.16	5.3	6.13	-8.71	-3.83	1.16	-2.25	2.39	-6.64	4.27	-0.72	7.47	-6.98	-7.14	-2.3	-5.5	9.37	3.53
x78	-1.75	-0.12	-0.89	-7.69	9.69	5.07	7.31	8.39	-8.67	-6.43	7.86	-9.47	-2.2	2.53	-2.22	9.81	-0.21	-7.25	-7.95	-8.69	-6.24	-4.88	-9.42	-1.61	1.73	1.52	8.87	5.62	7.47	3.04	-8.46	-5.76	-6.8	3.76	-7.37	-7.21	-5.85	8.92	7.67	9.39	-8.76	-1.07	-9.17	-6.37	-2.6	-4.36	-9.16	1.11	-0.44	-1.82	-6.57	-9.05	5.15	9.48	2.45	3.59	-5.1	-5.94	5.56	9.44
x79	9.1	-9.54	-8.16	1.53	5.37	-5.16	-4.22	-3.66	6.36	4.83	4.3	5.11	1.91	4.33	-2.63	3.18	5.44	5.73	-4.21	1.59	0.5	7.42	-7.96	4.62	-6.95	3.51	7.98	5.96	-9.52	3.87	-7.68	-8.02	-9.79	-5.8	2.05	9.61	3.84	8.58	3.8	-4.43	-6.59	5.39	-8.13	6.45	-2.76	1.28	-5.92	-4.91	4.4	0.52	3.5	7.98	-9.59	6.56	4.02	-9.92	-8.91	2.07	5.32	1.47
x80	6.37	5.94	9.73	2.79	1.86	7.11	3.01	-6.18	3.48	-1.08	7.09	-8.66	8.51	-4.49	2.97	-0.76	6.89	-2.57	8.59	0.97	-4.43	9.95	-8.3	4.57	8.52	9.26	-2.59	8.66	-4.66	2.29	1.47	1.31	-9.67	-6.48	-9.39	8.55	-4.17	-8.16	-8.24	3.87	-8.99	9.76	8.47	-1.61	-2.72	-3.47	-4.28	-5.94	6.12	-8.3	-9.77	3.11	-9.68	9.07	-3.43	-6.05	-0.78	-5.76	0.45	3.56
x81	-4.48	-4.98	7.5	1.15	-3.33	-8.89	8.16	4.52	-6.51	-6.33	-3.53	-1.18	7.2	-8.49	6.62	-6.42	1.06	4.95	-4.93	-6.97	2.32	-4.17	0.02	-5.15	-9.08	0.57	-1.34	-8.84	-6.38	5.32	-4.43	4.23	1.44	9.69	7.3	-9.29	-3.19	5.98	-2.59	-7.23	-7.58	-5.22	4.04	2.53	8.11	4.25	7.53	-3.3	4.37	0.7	9.74	-7.3	-8.49	-9	-1.42	-5.61	2.03	3.4	-8.74	-4.05
x82	-9.73	-7	8.19	-4.24	8.52	-9.88	5.62	-1.38	1.28	-4.11	9.71	-5.6	0.78	7.5	7.25	-6.19	-4.29	7.94	-0.97	-2.12	2.58	-0.53	-9.39	-3.08	-5.43	-1.37	2.33	-3.42	-4.02	1.34	5.43	-5.82	-7.42	-8.74	-5.61	-3.47	-2.74	1.92	6.89	2.31	8.96	-6.34	2.41	6.47	8.4	-9.84	7.95	1.94	8.57	-3.79	-4.99	-5.23	0.09	8.07	6.17	-7.02	2.03	-8.73	1.07	-3.66
x83	7.28	-3.56	2.15	4.57	-1.79	-6.77	8.41	-4.89	3.24	5.17	-7.99	-2.39	7.67	3.14	-3.12	-7.57	3.32	4.65	1.11	2.82	0.62	7.29	5.74	-3.36	-5.87	-0	-8.8	2.08	7.73	3.76	-0.06	-5.52	9.5	-5.36	-1.58	6.08	-2.38	-3.95	5.37	9.4	-1.06	-4.89	4.27	6.03	9.12	-1.99	7.44	-2.53	-0.19	-6.63	6.96	2.5	2.27	-0.85	-6.88	-3.95	9.09	8.69	5.2	-0.91
x84	-3.78	5.94	4.58	2.79	0.97	5.69	3.01	-6.18	-4.12	-4.7	-8.05	-6.05	7.75	-4.49	2.97	8.5	6.89	9.05	-9.23	0.52	7.89	9.95	-8.3	0.19	7	8.81	5.62	-4.59	-4.66	2.29	9.01	1.31	-9.67	-8.52	1.21	8.07	5.69	6.67	-8.24	9.55	-9.02	5.48	8.47	-1.61	-4.11	5.7	-4.32	-5.94	-2.65	-4.79	-7.8	9.52	-8.56	4.91	5.6	-6.05	-0.78	-5.76	-9.27	0.78
x85	-9.26	5.94	3.6	2.79	4.6	-6.74	3.01	-6.18	-0.3	-8.69	5.4	-4.79	-8.99	-4.49	2.97	-4.09	6.89	8.1	2.02	9.31	2.54	9.95	-8.3	-8.48	9.33	0.86	1.14	-9.74	-4.66	2.29	-0.95	1.31	-9.67	-3.77	3.98	6.62	-1.55	-6.99	-8.24	-3.57	5.84	-2.16	8.47	-1.61	-9.17	0.07	7.73	-5.94	2.48	-2.42	-3.82	-3.66	7.69	0.5	0.49	-6.05	-0.78	-5.76	-4.45	2.86
x86	-1.75	-1.3	-0.89	-4.85	9.69	2.81	9.49	4.72	-8.67	-6.86	7.86	-3.95	-2.2	1.12	1.96	-8.39	9.32	-0.89	-7.95	-8.06	6.04	-8.18	7.04	-1.61	1	1.52	8.87	4.76	1.55	-1.39	-0.72	5.01	0.44	3.76	-7.37	9.39	-5.85	8.92	-3.17	9.39	5.54	-9.52	0.87	1.13	-1.35	2.17	-9.16	6.99	-0.44	8.49	4.89	-4.15	-2.16	9.48	2.45	-2.31	7.23	4.11	3.01	9.44
x87	-1.75	-1.6	-0.89	8.73	9.69	-5.16	9.19	7.94	-8.67	4.83	7.86	5.11	-2.2	-0.71	-2.8	3.18	-6.75	5.73	-7.95	1.59	0.5	-9.42	1.01	-1.61	-6.95	1.52	8.87	5.96	-6.27	1.14	-7.68	2.95	7.8	3.76	-7.37	9.61	-5.85	8.92	8.03	9.39	-6.59	5.39	-4.41	2.26	-2.76	1.28	-9.16	8.31	-0.44	0.52	3.5	7.98	-9.59	9.48	2.45	2.96	2.91	-0.27	5.32	9.44
x88	0.77	5.94	2.8	2.79	3.55	1.68	3.01	-6.18	-9.41	5.72	-3.47	7.28	9.73	-4.49	2.97	-0.61	6.89	-0.94	-0.18	-3.95	-9.53	9.95	-8.3	-6.21	4.41	8.31	3.83	4.49	-4.66	2.29	4.14	1.31	-9.67	-2.17	5.23	8.49	8.46	-8.58	-8.24	-7.55	-1.29	-6.69	8.47	-1.61	1.78	4.38	-8.09	-5.94	0.49	-8.64	-5.55	0.62	-4.56	-6.3	6.2	-6.05	-0.78	-5.76	6.16	-2.7
x89	2.03	-8.42	7.29	-7.32	9.48	-9.88	-4.8	5.64	7.1	-3.44	-0.96	0.2	-3.39	7.9	-1.66	-0.93	-6.75	-3.16	8.79	-7.74	0.63	7.93	-4.06	2.81	-5.51	-4.63	-2.17	-6.59	-4.98	-3.37	2.07	-3.02	-1.5	5.06	5.3	-2.36	-1.9	6.33	3.94	-6.37	-8.86	-1.54	3.75	3.41	5.32	3.46	-7.14	7.93	0.01	-0.58	-2.08	-2.66	-9.41	-3.42	-3.62	8.98	3.13	8.3	9.02	4.68
x90	-4.85	7.98	6.6	0.51	-6.18	-5.16	-2.58	-8.11	9.17	4.83	7.37	5.11	-1.74	4.2	6.96	3.18	-2.36	5.73	-1.66	1.59	0.5	-2.81	-9.62	2.15	-6.95	-1.95	3.07	5.96	5.31	2.61	-7.68	7.6	-4.13	-8.6	-6.59	9.61	5.73	5.27	8.03	8.53	-6.59	5.39	2.64	8.3	-2.76	1.28	-5.39	-1.97	-4.36	0.52	3.5	7.98	-9.59	1.1	7.49	6.52	4.51	5.26	5.32	8.69
x91	-1.75	-5.02	-0.89	5.68	9.69	-5.93	-2.57	4.8	-8.67	8.92	7.86	-7	-2.2	-5.5	8.04	-1.44	-4.59	-8.45	-7.95	1.72	-7.58	-0.22	2.83	-1.61	5.54	1.52	8.87	-4.25	-1.91	4.93	-8.04	5.23	5.96	3.76	-7.37	2.03	-5.85	8.92	-4.11	9.39	8.35	4.97	8.45	-2.95	7.41	5.12	-9.16	-1.86	-0.44	2.08	-5.98	-9.15	-8.27	9.48	2.45	-3.81	-9.94	8.31	-4.35	9.44
x92	4.01	-5.97	3.21	-5.07	-1.66	8.03	8.75	-8.28	1.85	9.66	-8.49	-5.25	1.57	-3.99	9.3	1.61	-0.8	2.02	-0.38	-4.84	-9.16	4.45	-0.13	-1.54	9.42	4.5	1.25	-1.91	-9.98	-3.02	-2.92	-4.91	-6.31	1.95	3.21	-5.41	9.35	-3.85	3.49	0.79	4.27	-4.32	6.12	1.81	-5.78	8.82	8.55	-8.91	-8.4	-1.43	-2.52	-3.88	6.37	8.12	-1.33	-6.81	-1.42	9.24	-3.31	-2.06
x93	-6.54	-6.47	8.5	-4.88	-9.27	-0.38	-2.94	8.46	8.09	-4.43	-9.09	-8.51	-4.44	-5.17	-5.78	3.81	2.25	-2.98	7.73	3.59	9.83	9.77	-3.98	-3.1	8.24	7.11	8.63	-3.06	-1.88	-8.67	-6.48	2.57	1.98	-9.67	-9.61	4	-8.78	0.52	-2.19	6.15	9.92	-3.42	-6.18	5.02	-2.08	-6.45	-7.49	1.05	5.33	4.33	0.51	4.9	8.72	6.13	-3.23	5.62	5.22	-6.78	-3.13	8.99
x94	-5.17	9.93	-1.71	-5.19	3.67	-5.16	8.05	-2.47	5.62	4.83	-8.84	5.11	-4.39	1.43	6.86	3.18	2.8	5.73	0.5	1.59	0.5	5.48	8.33	-3.25	-6.95	1.27	-0.05	5.96	-9.46	7.27	-7.68	0.43	-8.87	-4.26	-8.93	9.61	-9.32	9.28	3.3	-6.66	-6.59	5.39	-6.64	-2.28	-2.76	1.28	-8.23	9.87	-9.6	0.52	3.5	7.98	-9.59	-2.01	-4.34	8.51	5.63	5.07	5.32	-5.66
x95	8.91	-0.26	3.32	2.29	2.84	-5.16	4.09	9.27	5.22	4.83	9.27	5.11	-6.99	0.4	5.2	3.18	-2.17	5.73	1.81	1.59	0.5	0.26	-0.94	2.62	-6.95	-2.1	0.15	5.96	-0.68	3.93	-7.68	6.54	4.78	-5.58	-0.03	9.61	-0.65	-4.67	-4.03	2.73	-6.59	5.39	-6.51	6.91	-2.76	1.28	-5.21	-7.42	2.95	0.52	3.5	7.98	-9.59	-0.22	4.58	-5.12	9.07	3.34	5.32	-7.67
x96	-1.71	-2.98	-9.55	-2.02	-0.46	-2.62	-4.13	-7.67	-8.01	-2.52	7.03	-8.22	-3.29	5.82	8.13	1.33	3.67	4.77	8.95	-6.9	8.13	-8.26	-0.94	6.61	-7.45	6.83	-5.43	-0.82	-1.98	-3.41	-9.81	0.16	-9.16	7.32	-7.85	-8.95	-0.48	-0.75	9.11	4.83	-4.36	3.24	-2.37	-7.05	-2.16	5.26	-3.64	5.66	-7.57	1.13	-1.26	-7.43	6.35	-6.57	8.04	-5.73	-1.18	5.87	-9.65	2.77
x97	-3.74	6.65	-8.68	-0.82	1.89	-5.16	1.32	-9.25	9.95	4.83	6.28	5.11	-1.53	-4.8	-0.09	3.18	7.76	5.73	6.94	1.59	0.5	-6.28	-0.33	3.01	-6.95	-8.04	3.79	5.96	7.89	6.89	-7.68	-0.54	-3.98	-5.27	8.23	9.61	-7.25	4.25	1.83	3.53	-6.59	5.39	-6.19	5.23	-2.76	1.28	6.19	-6.03	2.66	0.52	3.5	7.98	-9.59	6.87	-9.24	3.03	2.45	-2.53	5.32	2.75
x98	-8.43	5.69	-0.67	2.31	-4.71	-2.86	0.11	8.75	5.48	2.97	2.54	-0.66	-1.98	2.44	-1.15	6.4	8.12	-1.73	0.35	-7.25	8.37	-5.01	-5.75	2.34	-3.44	0.82	0.25	3.3	-3.82	7.7	-2.73	4.2	-2.84	-3.05	7.46	-9.61	-2.24	3.04	-1.29	-2.6	9.14	7.29	-0.31	-9.27	-6.65	4.54	-7.74	-2.43	3.18	-8.84	-5.37	-5.33	-3.01	0.69	-4.09	-0.94	-4.04	4.66	7.72	-6.79
x99	-7.75	0.26	1.56	4.92	6.68	4.34	2.31	-6.51	-7.66	3.33	7.47	8.59	6.61	-7.15	-0.61	5.68	8.12	-2.92	-6.51	3	-2.29	8.39	-0.61	9.17	-7.48	-9.52	3.65	-2.9	1.23	4.49	-6.89	-9.03	-5.14	7.1	5.99	5.52	2.42	-8.23	4.14	-5.84	3.69	0.05	4.44	1.55	2.29	-1.56	-10	-0.74	1.49	-1.68	2.29	8.97	-7.55	-9.01	-5.65	6.58	-0.08	-1.44	2.34	-7.02
